T,0,6,7,8,9,10,11,12,13,14,15,16,17/18
90,,,9,11,9,10,10,10,9,9,10,10
89,,,,,,,9,,,,,
88,,,,10,,9,,,,,9,
87,,,8,,,,,,,,,
86,,,,,8,,,9,8,8,,9
85,17,,,,,,,,,,,
84,,16,,9,,,8,,,,,
83,,,,,,8,,,,,8,
82,,15,,,,,,,,,,
81,,,7,,7,,,8,,,,8
80,,14,,,,,,,7,7,,
79,,,,8,,,7,,,,,
78,,13,,,,7,,,,,7,
77,13,,,,,,,7,,,,
76,,,6,,,,,,,,,7
75,12,,,7,6,,,,6,6,,
74,,,,,,,,,,,,
73,11,,,,,6,6,,,,6,
72,,10,,,,,,6,,,,6
71,,,5,6,,,,,,,,
70,,9,,,5,,,,5,5,,
69,,,,,,,,,,,,
68,,8,,,,5,5,,,,5,
67,,,,,,,,5,,,,5
66,,7,,5,,,,,,,,
65,,,4,,,,,,,,,
64,,,,,4,,,,4,4,,
63,6,,,,,4,4,4,,,4,
62,,,,4,,,,,,,,4
61,5,,,,,,,,,,,
60,,,3,,,,,,,,,
59,,,,,3,,,,3,3,,
58,,3,,,,3,3,3,,,3,3
57,,,,3,,,,,,,,
56,,2,,,,,,,,,,
55,2,,,,,,,,,,,
54,,,2,,,,,,2,2,,
53,1,,,2,2,2,2,2,,,2,2
52,,,,,,,,,,,,
51,0,,,,,,,,,,,
50,,,,,,,,,,,,
49,,,1,1,,,,1,,,,
48,,,,,1,1,1,,1,1,1,1
47,,,,,,,,,,,,
46,,,,,,,,,,,,
45,,,,,,,,,,,,
44,,,,0,,,,0,,,,0
43,,,0,,,0,0,,0,0,0,
42,,,,,0,,,,,,,
41,,,,,,,,,,,,
40,,,,,,,,,,,,
