T,6,7,8,9,10,11,12,13,14,15,16,17/18
90,30,31,29,23,24,24,27,22,24,22,25,27
89,29,,28,22,23,23,26,21,,,24,
88,,30,,,,,,,23,21,,26
87,28,29,27,21,22,22,25,20,,,23,
86,,,,,,,,,22,20,,25
85,27,28,26,20,21,21,24,,,,22,24
84,,,,,,,,19,21,19,,
83,26,27,25,,20,,23,,,,21,23
82,,26,24,19,,,,18,20,,,
81,25,,,,,,22,,,18,20,22
80,,25,23,18,19,,21,17,19,,,
79,24,,,,,,,,,17,19,21
78,,24,22,17,18,,20,16,18,,,20
77,23,23,,,,,,,,16,18,
76,,,21,16,17,,19,,17,,,19
75,22,22,20,,,,,15,,16,17,
74,,,,,16,,18,,16,,,18
73,21,21,19,15,,,,14,,14,16,
72,,20,,,15,,17,,15,,,17
71,20,,18,14,,,16,13,,13,14,16
70,,19,,,14,,,,14,,,
69,19,,17,13,,,15,12,,,14,15
68,,18,16,,13,,,,13,12,,
67,18,17,,12,,,14,,,,13,14
66,,,15,,12,,,11,12,11,,
65,17,16,,,,,13,,,,12,13
64,,,14,11,11,,,10,11,10,11,12
63,16,15,,,,,12,,,,,
62,,14,13,10,10,,11,9,10,9,10,11
61,15,,,,,,,,,,,
60,,13,12,9,9,,10,,9,8,9,10
59,14,,11,,,,,8,,,,
58,,12,,8,8,,9,,8,7,8,9
57,13,11,10,,,,,7,,,,8
56,,,,,,,8,,7,,7,
55,12,10,9,7,7,,,6,,7,,7
54,,9,,,,,7,,6,,6,
53,11,,8,6,6,,,5,,5,,6
52,,8,7,,,,6,,5,,5,
51,10,,,5,5,,6,,,4,,5
50,,7,6,,,,,4,4,,4,4
49,9,6,,4,4,,4,,,3,,
48,,,5,,,,,3,3,,3,3
47,8,5,,3,3,,3,,,2,,
46,,,4,,,,,2,2,,2,2
45,7,4,3,,2,,2,,,1,,1
44,,3,,2,,,,1,1,,1,1
43,6,,2,,1,,1,,,,,0
42,,2,,1,,,0,,0,0,0,
41,5,,1,,0,,,0,,,,
40,,1,0,0,,,,,,,,
