Unnamed: 0,6,7,8,9,10,11
90,,,10.0,10.0,8.0,8.0
89,,,,,,
88,,,,,,
87,,,,9.0,,7.0
86,,,9.0,,,
85,,,,,,
84,,,,,7.0,
83,,,,,,
82,,,,8.0,,
81,,,8.0,,,6.0
80,,,,,,
79,,,,,,
78,,,,,6.0,
77,,,,7.0,,
76,,,7.0,,,
75,,,,,,
74,,,,,,5.0
73,,,,6.0,,
72,,,6.0,,5.0,
71,,,,,,
70,,,,,,
69,,,,,,
68,,,,5.0,,4.0
67,,,5.0,,4.0,
66,,,,,,
65,,,,,,
64,,,,,,
63,,,,4.0,,
62,,,4.0,,,3.0
61,,,,,3.0,
60,,,,,,
59,,,,,,
58,,,3.0,3.0,,
57,,,,,,
56,,,,,,
55,,2,,,2.0,2.0
54,,,,2.0,,
53,,,2.0,,,
52,,,,,,
51,,,,,,
50,,,,,,
49,,,,1.0,1.0,1.0
48,,,1.0,,,
47,,,,,,
46,,,,,,
45,,,,,,
44,,,0.0,0.0,,
43,,,,,0.0,
42,,,,,,0.0
41,,,,,,
40,,,,,,
