T,6,7,8,9,10,11,12,13,14,15,16,17/18
90,19,19,21,21,21,24,20,18,19,20,21,22
89,,,,20,20,23,,,,,,21
88,,18,20,,,,19,17,18,19,20,
87,18,,,,19,22,,,,,,20
86,,17,19,19,,,,,,,,
85,17,,,,,21,18,16,17,18,19,
84,,16,,18,18,,,,,,,19
83,16,,18,,,20,17,,16,17,18,
82,,15,,,17,,,15,,,,18
81,15,,17,17,,,,,,,17,
80,,14,,,,19,16,,15,16,,17
79,14,,16,16,16,,,14,,,,
78,,13,,,,18,15,,,15,16,
77,13,,,,15,,,,14,,,16
76,,12,15,15,,17,,13,,,15,
75,12,,,,,,14,,,14,,15
74,,11,14,14,14,16,,,13,,14,
73,11,,,,,,13,12,,13,,14
72,,10,,,13,15,,,12,,,
71,10,,13,13,,,,11,,,13,
70,,9,,,,14,12,,,12,,13
69,9,,12,12,12,,,,11,,12,
68,,8,,,,13,11,10,,11,,12
67,8,,11,,11,,,,,,,
66,,7,,11,,12,,,10,,11,11
65,7,,,,,,10,9,10,,
64,,6,10,10,10,,,,9,,10,
63,6,,,,,11,,,,9,,10
62,,5,9,,9,,9,8,,,9,
61,5,,,9,,10,,,8,,,9
60,,4,,,,,8,,,8,,
59,4,,8,8,8,9,,7,,,8,8
58,,3,,,,,,,7,7,,
57,3,,7,,7,8,7,6,,,7,
56,,2,,7,,,,,6,,,7
55,2,,,,6,7,6,,,6,6,
54,,1,6,6,,,,5,,,,6
53,1,,,,,6,,,5,5,,
52,,0,5,,5,,5,,,,5,5
51,0,,,5,,5,,4,,4,,
50,,,4,,4,,4,,4,,4,
49,,,,4,,4,,,,,,4
48,,,,,,,,3,3,3,,
47,,,3,,3,3,3,,,,3,3
46,,,,3,,,,,,2,,
45,,,2,,2,,2,2,2,,2,2
44,,,,2,,2,,,,,,
43,,,,,,,,,,1,1,
42,,,1,,1,1,1,1,1,,,1
41,,,,1,,,,,,0,,
40,,,0,0,0,0,0,0,0,,0,0
