Unnamed: 0,6,7,8,9,10,11,12,13,14,15,16,17/18
90,19,22,26,26,,27,,,,,,
89,,,,,27,26,,,,,,
88,,21,25,25,,,,,,27,,
87,18,,,,26,25,,,,,,
86,,20,24,24,,,,27,,26,27,27
85,17,,,,25,24,,,,,,
84,,19,23,23,,,,26,27,25,26,26
83,16,,,,24,,,,,,,
82,,18,22,22,,23,,25,26,24,25,25
81,15,,,,23,,,,,,24,24
80,,17,21,21,,22,27,24,25,23,,
79,14,,,,22,,,23,,,23,23
78,,16,,20,,21,26,,24,22,,
77,13,,20,,21,,25,22,23,,22,22
76,,15,,,,20,,,,21,,
75,12,,19,19,20,,24,21,22,,21,21
74,,14,,,,19,,,,20,,
73,11,,18,18,19,,23,20,21,,20,20
72,,13,,,,,22,,,19,,
71,10,,17,17,18,18,,19,20,,19,19
70,,12,,,,,21,,,18,,
69,9,,16,16,17,17,20,18,19,17,18,18
68,,11,,,,,,,18,,17,17
67,8,,15,15,16,16,19,17,,16,,
66,,10,,,,,18,,17,,16,16
65,7,,14,14,15,15,,16,,15,,
64,,9,,,,,17,15,16,,15,15
63,6,,13,13,14,14,,,,14,,
62,,8,,,,,16,14,15,,14,14
61,5,,12,,13,,15,,,13,,
60,,7,,12,,13,,13,14,,13,13
59,4,,11,,12,,14,,13,12,,
58,,6,,11,,12,13,12,,,12,12
57,3,,10,,11,,,,12,11,11,11
56,,5,,10,,11,12,11,,,,
55,2,,9,,10,,,,11,10,10,10
54,,4,,9,,10,11,10,,,,
53,1,,8,,9,,10,,10,9,9,9
52,,3,,8,,9,,9,,,,
51,0,,7,,8,,9,,9,8,8,8
50,,2,,7,,,8,8,8,,,
49,,,,,7,8,,7,,7,7,7
48,,1,6,6,,,7,,7,6,,
47,,,,,6,7,6,6,,,6,6
46,,0,5,,,,,,6,5,,
45,,,,5,5,6,5,5,,,5,5
44,,,4,,,,,,5,4,4,4
43,,,,4,4,5,4,4,,,,
42,,,3,,,,3,,4,3,3,3
41,,,,3,3,4,,3,3,,,
40,,,2,2,2,3,0-2,0-2,0-2,0-2,0-2,0-2
